title,authors,year,venue,link,angle,what_it_does,key_results,drawbacks,gap_vs_ours
How Reliable is Multilingual LLM-as-a-Judge?,Xiyan Fu et al.,2025,Findings of EMNLP 2025,https://arxiv.org/abs/2505.12201,judge_bias,Measures cross-lingual judgment consistency of five judge models across five tasks and 25 languages; proposes an ensemble strategy.,"Only ~0.3 average Fleiss' Kappa consistency across languages, worst in low-resource languages; neither more multilingual data nor scale fixes it.","Consistency defined across translations between languages, conflating translation quality with judge behavior.",Cannot attribute inconsistency to orthography because language and script co-vary; our transliteration design isolates script.
MorphTok: Morphologically Grounded Tokenization for Indian Languages,Maharaj Brahma et al.,2025,TokShop @ ICML 2025,https://arxiv.org/abs/2504.10335,tokenization,Morphology-aware pre-segmentation plus Constrained BPE handling Devanagari dependent vowel signs (matras) that standard BPE splits into meaningless tokens.,"1.68% fertility reduction for Indic scripts with comparable downstream performance; introduces EvalTok, a human-centric tokenization quality metric.",Modest improvements at small scale; requires retraining tokenizers.,Documents exactly how Devanagari is mis-segmented by BPE but never traces mis-segmentation to evaluative behavior.
RomanLens: The Role Of Latent Romanization In Multilinguality In LLMs,Alan Saji et al.,2025,Findings of ACL 2025,https://arxiv.org/abs/2502.07424,script_translit,"Mechanistic interpretability (logit lens, activation patching) showing LLMs processing non-Roman-script languages represent target words in romanized form in intermediate layers.",Semantic concepts encoded similarly across native and romanized representations; romanization acts as a latent bridge for cross-lingual transfer.,Internal-representation findings do not quantify behavioral output differences from script choice.,Explains why scripts may be processed asymmetrically inside the model but not whether that surfaces as score differences when the LLM judges.
Script Gap: Evaluating LLM Triage on Indian Languages in Native vs Romanized Scripts in a Real World Setting,Manurag Khullar et al.,2025,arXiv preprint (cs.CL),https://arxiv.org/abs/2512.10780,script_translit,"Benchmarks LLMs on real user maternal-health triage queries in 5 Indian languages plus Nepali, comparing classification reliability on native vs romanized versions of the same messages.","Consistent degradation on romanized input, gaps up to 24 points across languages and models; projects ~2M excess triage errors at the partner org; proposes uncertainty-based selective routing.",Single classification task in one deployment context; may not generalize to open-ended generation or subjective quality assessment.,"Closest prior work; measures the LLM's own task accuracy on romanized input, not bias in an LLM-as-judge's scoring of content quality across scripts."
Airavata: Introducing Hindi Instruction-tuned LLM,Jay Gala et al.,2024,arXiv (AI4Bharat report),https://arxiv.org/abs/2401.15006,indic_eval,Hindi instruction-tuned LLM (fine-tuned OpenHathi on IndicInstruct) with Hindi evaluation benchmarks including GPT-4-judged generation quality.,"Outperforms base OpenHathi on most Hindi NLU/NLG tasks, demonstrating the value of Hindi instruction tuning.","LLM-judged evaluation adopted uncritically, without validating the judge against human raters.",Evaluates Hindi in Devanagari only; never asks whether the GPT-4 judge would score the same content differently if romanized. Exemplifies the practice our study audits.
Breaking the Script Barrier in Multilingual Pre-Trained Language Models with Transliteration-Based Post-Training Alignment,Orgest Xhelili et al.,2024,Findings of EMNLP 2024,https://arxiv.org/abs/2406.19759,script_translit,Transliteration-based post-pretraining alignment mapping different writing systems into Latin script to improve cross-lingual transfer between related languages.,Up to 50% improvement on some downstream tasks in English-centric transfer; larger gains from non-English sources.,"Targets encoder-style multilingual PLMs, not instruction-tuned generative LLMs used in evaluation pipelines.",Treats script mismatch as a transfer obstacle to fix via training; does not consider script as a bias source in judge scoring.
IndicGenBench: A Multilingual Benchmark to Evaluate Generation Capabilities of LLMs on Indic Languages,Harman Singh et al.,2024,ACL 2024,https://arxiv.org/abs/2404.16816,indic_eval,"Human-curated multi-way parallel generation benchmark (summarization, MT, QA) over 29 Indic languages spanning 13 scripts.",Every Indic language shows a significant gap vs English; lower-resource languages degrade most.,Automatic reference-based metrics rather than LLM/human judges; each language tested only in its conventional script.,"Covers 13 native scripts but never the same language in two scripts, so romanized-vs-native judge bias is untestable on it."
Justice or Prejudice? Quantifying Biases in LLM-as-a-Judge,Jiayi Ye et al.,2024,ICLR 2025,https://arxiv.org/abs/2410.02736,judge_bias,"CALM: automated perturbation-based framework quantifying a taxonomy of 12 biases in LLM judges (position, verbosity, self-enhancement, authority, bandwagon, etc.).",Even advanced judges that look robust in aggregate show significant persistent biases on specific tasks; judge reliability is task-dependent.,The 12-bias taxonomy is built and measured on English data only; perturbations never vary language or orthography.,Script/transliteration bias is absent from the taxonomy; our study adds an orthography-level bias axis.
LLM Evaluators Recognize and Favor Their Own Generations,Arjun Panickssery et al.,2024,NeurIPS 2024,https://arxiv.org/abs/2404.13076,judge_bias,"Isolates self-preference bias: judges (GPT-4, Llama 2) recognize their own outputs and inflate scores for them.",Linear correlation between self-recognition accuracy and self-preference strength; fine-tuning that increases self-recognition also increases self-preference (causal link).,"Only self-preference, English summarization-style tasks.",Shows judges favor familiar-looking text (their own style) but never tests familiarity at the writing-system level.
METAL: Towards Multilingual Meta-Evaluation,Rishav Hada et al.,2024,Findings of NAACL 2024,https://arxiv.org/abs/2404.01667,indic_eval,"Meta-evaluation dataset of 1,000 summaries across 10 languages with native-speaker judgments on 5 dimensions; measures LLM-judge/human agreement.",GPT-4 judges agree best with native speakers; GPT-3.5-Turbo poor; LLM evaluators' stated reasoning often mismatches human judges' reasoning.,"Small per-language sample (100/language), single task (summarization).",Judge-human agreement per language in standard script only; script-controlled judge sensitivity unexamined.
MILU: A Multi-task Indic Language Understanding Benchmark,Sshubam Verma et al.,2024,NAACL 2025,https://arxiv.org/abs/2411.02538,indic_eval,"India-centric multiple-choice benchmark, ~85K questions, 8 domains, 41 subjects, 11 Indic languages from regional exams.",Best model (GPT-4o) reaches only 74% average; language-specific fine-tuned models barely above random; drops on low-resource languages and cultural domains.,Multiple-choice accuracy sidesteps generation evaluation and judge reliability entirely.,"Native-script only, exact-match scored; no lever to detect script-driven bias in model-based scoring."
MM-Eval: A Multilingual Meta-Evaluation Benchmark for LLM-as-a-Judge and Reward Models,Guijin Son et al.,2024,arXiv preprint,https://arxiv.org/abs/2410.17578,judge_bias,"Multilingual meta-evaluation benchmark: 5 core subsets, 18 languages, plus a 122-language consistency subset stress-testing judges and reward models.","Evaluators strong in English are unfair and inconsistent on lower-resourced languages, tending to assign middling scores.",Measures per-language judge accuracy; does not manipulate orthographic form within a language.,Its language-consistency axis stops at the language level; we extend consistency testing within one language to the script level.
MYTE: Morphology-Driven Byte Encoding for Better and Fairer Multilingual Language Modeling,Tomasz Limisiewicz et al.,2024,ACL 2024,https://arxiv.org/abs/2403.10691,tokenization,"Morpheme-based replacement for UTF-8 byte encoding so equivalent information yields comparably sized segments across languages, targeting the byte-fallback penalty on non-Latin scripts.",Shorter encodings than UTF-8 for all 99 languages studied (up to ~70% for Burmese); largest improvements for non-Latin scripts; reduced cross-lingual perplexity gaps.,Requires morphological resources and retraining; cannot diagnose or fix bias in existing deployed judges.,Fixes byte-level segmentation inequity for scripts like Devanagari but never measures whether that inequity biases an existing LLM's quality judgments.
PARIKSHA: A Large-Scale Investigation of Human-LLM Evaluator Agreement on Multilingual and Multi-Cultural Data,Ishaan Watts et al.,2024,EMNLP 2024,https://arxiv.org/abs/2406.15053,judge_bias,"Compares ~90K human evaluations with 30K LLM-judge evaluations of 30 models across 10 Indic languages, pairwise and direct assessment.","Human-LLM agreement fair for pairwise but drops sharply for direct assessment, worst for Bengali and Odia; GPT-based evaluator shows self-bias.",Analyzes agreement per language as-is without controlled manipulation of any single factor.,Script is a confound rather than a treatment; we hold Hindi content constant and vary only Devanagari vs Latin.
RomanSetu: Efficiently unlocking multilingual capabilities of Large Language Models via Romanization,Jaavid Aktar Husain et al.,2024,"ACL 2024 (Long, SAC Award)",https://arxiv.org/abs/2401.14280,script_translit,Uses romanized text as the interface for extending English-centric LLMs to non-Roman-script languages via continual pretraining and instruction tuning on romanized Indic data.,Romanization reduces token fertility 2x-4x vs native script and matches or outperforms native-script representation on NLU/NLG/MT; romanized embeddings align more closely with English.,"Requires continual pretraining (not applicable to closed judges off-the-shelf); evaluates task accuracy on clean machine-transliterated text, not noisy user romanization.",Studies romanization as an input strategy for task performance; never asks whether an LLM evaluator assigns different quality scores to identical content in romanized vs native script.
Tokenizer Choice For LLM Training: Negligible or Crucial?,Mehdi Ali et al.,2024,Findings of NAACL 2024,https://aclanthology.org/2024.findings-naacl.247/,tokenization,"Trains 24 LLMs (2.6B) ablating tokenizer algorithm, vocabulary size, and data to isolate the causal effect of tokenizer choice on downstream performance.",Tokenizer choice significantly affects performance and cost; English-centric tokenizers on multilingual data add up to 68% training cost; fertility metrics not reliably predictive of downstream performance.,"Pretraining-scale effects on generation/understanding benchmarks, not frozen commercial judges or evaluation behavior.","Shows tokenization affects what a model can do, not what it thinks of others' outputs; no fertility-to-judge-bias link."
Aksharantar: Open Indic-language Transliteration datasets and models for the Next Billion Users,Yash Madhani et al.,2023,Findings of EMNLP 2023,https://arxiv.org/abs/2205.03018,script_translit,"Largest public transliteration dataset for Indian languages (26M pairs, 21 languages, 12 scripts) plus the IndicXlit transliteration model.",IndicXlit improves transliteration accuracy 15% over baselines on Dakshina; first public baselines for 7 languages.,"Resource/model paper for the transliteration task itself, not a study of downstream LLM behavior.",Supplies tooling to build our paired stimuli but contains no analysis of judge bias across scripts.
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,Rishav Hada et al.,2023,Findings of EACL 2024,https://arxiv.org/abs/2309.07462,judge_bias,"First large calibration study of GPT-4 as multilingual evaluator vs 20K human judgments across 3 tasks, 5 metrics, 8 languages including non-Latin scripts.","GPT-4 evaluators show systematic bias toward higher scores and poor calibration with native-speaker judgments, worst for lower-resource languages.",Each language evaluated only in its standard native orthography; one judge model.,"Includes Hindi in native script but never presents the same content in alternate scripts, so it cannot separate language bias from script bias."
Do All Languages Cost the Same? Tokenization in the Era of Commercial Language Models,Orevaoghene Ahia et al.,2023,EMNLP 2023,https://aclanthology.org/2023.emnlp-main.614/,tokenization,"Analyzes cost and utility of OpenAI's API across 22 languages, linking token-count variance to pricing fairness ('language taxes').",Speakers of many languages are simultaneously overcharged and receive poorer task results; affected populations live where pricing is least affordable.,"Utility measured on task accuracy of the model as performer, not evaluator; no within-language script variation.",Shows tokenization drives cost/performance inequity but never asks whether a judge scores the more expensively tokenized form of identical content lower.
Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,Lianmin Zheng et al.,2023,NeurIPS 2023 (Datasets and Benchmarks),https://arxiv.org/abs/2306.05685,judge_bias,"Formalizes the LLM-as-a-judge paradigm with MT-Bench and Chatbot Arena, validating LLM judges against human preferences and cataloguing judge failure modes (position, verbosity, self-enhancement bias).",GPT-4 judge matches human preferences with over 80% agreement (human-human level) while systematically exhibiting position and verbosity biases.,Almost entirely English-centric; bias analysis limited to a few coarse categories without linguistic dimensions.,"Does not examine language, script, or transliteration effects at all; we test whether identical content in Devanagari vs romanized Hindi receives different scores."
Language Model Tokenizers Introduce Unfairness Between Languages,Aleksandar Petrov et al.,2023,NeurIPS 2023,https://arxiv.org/abs/2305.15425,tokenization,Measures cross-lingual tokenization length disparity ('token premium') for the same content across languages; inequity arises at the tokenization stage.,"Same-content tokenization length differs up to 15x across languages; even byte/char-level models show over 4x differences, driving unequal cost, latency, and effective context.",Measures cost/length only; does not test whether longer tokenizations change model outputs or quality judgments.,"Establishes the token premium but never connects it to evaluation outcomes; no judge setting, no within-language script manipulation."
Large Language Models are not Fair Evaluators,Peiyi Wang et al.,2023,ACL 2024,https://arxiv.org/abs/2305.17926,judge_bias,Shows pairwise LLM evaluation is systematically vulnerable to positional bias (rankings hackable by reordering candidates); proposes a calibration framework.,Exploiting position alone makes Vicuna-13B beat ChatGPT on 66 of 80 queries; calibration substantially improves alignment with humans.,"Single bias type (position), English-only, small query set.","Treats fairness as ordering robustness, not surface-form robustness; never asks whether the writing system of identical content shifts judge scores."
MEGA: Multilingual Evaluation of Generative AI,Kabir Ahuja et al.,2023,EMNLP 2023,https://arxiv.org/abs/2303.12528,indic_eval,First comprehensive multilingual benchmarking of generative LLMs on 16 datasets across 70 languages vs SOTA fine-tuned models.,"Generative LLMs lag substantially on many non-English (especially low-resource, non-Latin-script) languages; extended later by MEGAVERSE.","Classic reference-based metrics over standard tasks; measures task accuracy, not reliability of evaluation methods.",Benchmarks capability per language but never controls script or examines judge scoring across scripts.
Romanization-based Large-scale Adaptation of Multilingual Language Models,Sukannya Purkayastha et al.,2023,Findings of EMNLP 2023,https://arxiv.org/abs/2304.08865,script_translit,Systematic study of UROMAN transliteration as a large-scale adaptation strategy for multilingual PLMs on 14 low-resource languages.,UROMAN-based transliteration strong for many languages; largest gains on unseen scripts and low-data setups.,mBERT/XLM-R-era models on classification tasks; UROMAN output differs from real user romanization (Hinglish spelling variation).,Frames romanization as a capability booster for adaptation; no analysis of evaluation-time scoring fairness across scripts.
XLM-V: Overcoming the Vocabulary Bottleneck in Multilingual Masked Language Models,Davis Liang et al.,2023,EMNLP 2023,https://arxiv.org/abs/2301.10472,tokenization,"Scales a multilingual vocabulary to 1M tokens with per-language capacity allocation, addressing under-allocation for low-resource scripts.","Outperforms XLM-R on every tested task, up to 11.2% absolute on MasakhaNER; shorter, more meaningful tokenizations.",Encoder-only masked LM; vocabulary remedy does not transfer to fixed tokenizers of deployed generative judges.,Shows vocabulary allocation drives representation quality for low-resource scripts; the link between vocabulary starvation and judge score deflation remains untested.
